sudo journalctl -u eqso-relay@CB -f | grep -E "RAW 0x|Mensaje"
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:08 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:09 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:09 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:09 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:09 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:09 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f45410001d69f9266d8590dd9d2ada75c78adf6f3652527d76c4e5228cdea932d784b8a4ee501d75e922b20954d22
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [eqso] 2026-04-27T19:55:10.129Z Mensaje del servidor: R-DAVID_EAVfXYYR-'\x-vse%'WlNR(Mj-xKNeW^
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [main] 2026-04-27T19:55:10.129Z Mensaje servidor: R-DAVID_EAVfXYYR-'\x-vse%'WlNR(Mj-xKNeW^
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100
abr 27 19:55:10 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100160100000001000000015700
