el] pico RMS=6777 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:48.501Z [nivel] pico RMS=6784 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:48.610Z [raw-rx #2] 1b: 0c
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.895Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.907Z [raw-tx ptt] 34b: 01d6a1a3b936ad1070548d651dc7edad208aa99081ec3a7870b8e6cd6dacaa872728
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.907Z [raw-tx ptt] 34b: 01d6a1a3b8f681ace8e3ad36b8e7aa1a9d90c8cf81ccaab46bc6f3814b1c72c1cc17
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.931Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.947Z [raw-tx ptt] 34b: 01d6e1a3b9369cd362e4e1cad5b6f554dd52095ee3ee9af1a7a46e6194789471b71b
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.951Z [raw-tx ptt] 34b: 01d6e1a37cf6c7320edac5c8dc814f55246ec878e71374e46e392467ac51ccd06b65
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.974Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.987Z [raw-tx ptt] 34b: 01d6e1a37cf681eed94a8dd727818e0b1b71c8e467c9463076476381a99c63c2c9dc
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.988Z [raw-tx ptt] 34b: 01d6a1a378f6e7c9c3731f2176818d536b1736f3d351041e4f28ebb9c91c6cb2b078
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.008Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.031Z [raw-tx ptt] 34b: 01d6e1a378f681cab87874351d81ca16fc4fd4f267c71e324cd8e367eb4524763960
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.032Z [raw-tx ptt] 34b: 01d6a1a378f6e7c916e982b67d67ea87dc57376acdab872895d75d81e8c8626dba77
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.057Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.071Z [raw-tx ptt] 34b: 01d6e29b79358136391cee682aedac527615d2dcedec15e8af88e867a82ea9c9582d
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.072Z [raw-tx ptt] 34b: 01d6e1a37cf66788d5321264eecdab0b21b688f1cdcbab8d74539c81c7a94c1d60e9
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.093Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
